"precio","marcaModelo","anio","vistas","Cilindrada","Estilo","Combustible","Transmisión","Estado","Kilometraje","Placa","Color exterior","Color interior","# de puertas","Ya pagó impuestos","Precio negociable","Se recibe vehículo","Provincia","Fecha de ingreso","cantidadExtras","marca","modelo"
5990000,"Volkswagen TIGUAN",2010,8,2000,"Todo Terreno 4x4","Gasolina","Manual","Muy Bueno",140000,"Termina en 0","GRIS","NEGRO",4,"SI","SI","NO","Heredia","05 de Febrero del 2021",20,"Volkswagen","TIGUAN"
9480000,"Hyundai ELANTRA ",2018,3468,2000,"Sedán","Gasolina","Automática/Dual","Excelente",60000,"ND","BLANCO","GRIS",4,"SI","SI","SI","Alajuela","15 de Noviembre del 2020",18,"Hyundai","ELANTRA"
21900000,"Toyota HILUX SRV",2017,1753,3000,"Pickup 4x4","Diesel","Manual","Muy Bueno",83500,"Termina en 8","BLANCO PERLADO","NEGRO",4,"SI","NO","NO","Alajuela","17 de Diciembre del 2020",20,"Toyota","HILUX SRV"
12768000,"Volvo XC90 D5",2012,2883,2400,"Todo Terreno 4x4","Diesel","Automática/Dual","Excelente",93500,"Termina en 6","BLANCO","NEGRO",4,"SI","SI","SI","San José","07 de Octubre del 2020",39,"Volvo","XC90 D5"
5800000,"Hyundai ACCENT",2014,526,1600,"Sedán","Gasolina","Automática/Dual","Excelente",127000,"ND","AZUL","GRIS CLARO",4,"SI","SI","SI","San José","26 de Noviembre del 2020",12,"Hyundai","ACCENT"
4500000,"Honda CRV",2002,508,2400,"Todo Terreno 4x4","Gasolina","Manual","Muy Bueno",193000,"Termina en 6","AZUL","GRIS",5,"SI","SI","NO","San José","11 de Diciembre del 2020",12,"Honda","CRV"
1950000,"Hyundai GRACE",1996,1193,2500,"Microbús/Minivan","Gasolina","Manual","Excelente",375502,"Termina en 9","MORADA","GRIS",4,"NO","SI","NO","Alajuela","21 de Diciembre del 2020",8,"Hyundai","GRACE"
23408000,"Lexus NX300H",2017,1556,2500,"Todo Terreno 4x4","Híbrido","Automática/Dual","Excelente",24000,"Termina en 7","GRIS","Gris",4,"SI","SI","NO","San José","28 de Diciembre del 2020",30,"Lexus","NX300H"
9950000,"Toyota RUSH",2018,14,1500,"Todo Terreno 4x4","Gasolina","Manual","Excelente",61000,"Termina en 3","BLANCO","NEGRO",4,"SI","SI","SI","Cartago","05 de Febrero del 2021",16,"Toyota","RUSH"
9531353,"Ssang Yong KORANDO",2018,1745,2000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",,"ND","GRIS","NEGRO",5,"SI","NO","NO","San José","09 de Noviembre del 2020",15,"Ssang Yong","KORANDO"
5595000,"Hyundai TUCSON",2008,17,2000,"Todo Terreno 4x4","Gasolina","Manual","Excelente",90000,"ND","NEGRO","BEIGE",4,"SI","SI","NO","San José","05 de Febrero del 2021",15,"Hyundai","TUCSON"
5100000,"Kia RIO",2011,33,1600,"Sedán","Gasolina","Automática/Dual","Excelente",243000,"ND","GRIS","NEGRO/GRIS",5,"SI","SI","NO","Heredia","02 de Febrero del 2021",13,"Kia","RIO"
3100000,"Ford ESCAPE",2004,117,3000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",,"Termina en","GRIS","GRIS",4,"SI","SI","NO","Cartago","01 de Febrero del 2021",17,"Ford","ESCAPE"
18700000,"Ford RANGER WILDTRAK",2015,984,3200,"Pickup 4x4","Diesel","Automática/Dual","Excelente",122000,"Termina en 2","GRIS PLATA","NEGRO",5,"SI","SI","SI","Guanacaste","11 de Enero del 2021",30,"Ford","RANGER WILDTRAK"
4200000,"Volkswagen JETTA",2006,188,1800,"Sedán","Gasolina","Manual","Excelente",197000,"Termina en 8","GRIS PLATA","NEGRO",4,"SI","SI","NO","Heredia","11 de Enero del 2021",19,"Volkswagen","JETTA"
12950000,"Mercedes Benz C300",2014,881,3500,"Sedán","Gasolina","Manual","Excelente",75000,"Termina en 6","NEGRO","NEGRO",5,"SI","SI","SI","San José","30 de Enero del 2021",36,"Mercedes Benz","C300"
7000000,"Suzuki SWIFT",2017,593,1200,"Hatchback","Gasolina","Automática/Dual","Excelente",12000,"Termina en 4","GRIS","NEGRO",5,"SI","SI","NO","Alajuela","11 de Diciembre del 2020",15,"Suzuki","SWIFT"
3800000,"Hyundai I10 ",2011,124,1200,"Hatchback","Gasolina","Manual","Excelente",96000,"Termina en 7","CELESTE","NEGRO",4,"SI","SI","NO","Cartago","18 de Enero del 2021",12,"Hyundai","I10"
1450000,"Toyota TERCEL",1995,255,1296,"Sedán","Gasolina","Manual","Muy Bueno",348000,"Termina en 6","GRIS","NEGRO",4,"SI","SI","NO","Cartago","14 de Enero del 2021",3,"Toyota","TERCEL"
1800000,"Hyundai ELANTRA",2002,272,2000,"Sedán","Gasolina","Automática/Dual","Muy Bueno",209543,"Termina en 1","VERDE","BEIGE",4,"SI","SI","NO","San José","01 de Febrero del 2021",12,"Hyundai","ELANTRA"
6700000,"BMW X5",2006,1380,3000,"Todo Terreno 4x4","Diesel","Automática/Dual","Excelente",298000,"Termina en 6","PLATEADO","NEGRO",5,"SI","SI","SI","Alajuela","08 de Enero del 2021",28,"BMW","X5"
6000000,"Toyota TUNDRA",2000,230,4700,"Pickup 4x2","Gasolina","Automática/Dual","Muy Bueno",198000,"Termina en 2","GRIS","GRIS",4,"SI","NO","NO","San José","22 de Enero del 2021",13,"Toyota","TUNDRA"
5800000,"Toyota COROLLA",2010,108,1800,"Sedán","Gasolina","Manual","Excelente",197949,"Termina en 7","GRIS","GRIS Y NEGRO",4,"SI","SI","NO","San José","28 de Enero del 2021",11,"Toyota","COROLLA"
2200000,"Hyundai GALLOPER ",1992,310,2972,"Todo Terreno 4x4","Gasolina","Manual","Bueno",,"Termina en 0","GRIS","GRIS BEIGE",4,"SI","SI","NO","Cartago","26 de Enero del 2021",9,"Hyundai","GALLOPER"
7500000,"Mini COOPER",2013,19053,1600,"Hatchback","Gasolina","Automática/Dual","Excelente",53000,"Termina en 4","PEPPERMINTWHITE","NEGRO",2,"SI","SI","NO","Heredia","27 de Julio del 2016",25,"Mini","COOPER"
4650000,"Suzuki ALTO DX",2017,36,800,"Hatchback","Gasolina","Manual","Excelente",110000,"ND","BLANCO","GRIS OSCURO",4,"SI","SI","NO","Alajuela","29 de Enero del 2021",10,"Suzuki","ALTO DX"
10500000,"Hyundai SANTA FE",2014,1401,2200,"Todo Terreno 4x4","Diesel","Automática/Dual","Excelente",138000,"Termina en 1","PLATA","NEGRO",5,"SI","SI","NO","Alajuela","11 de Enero del 2021",24,"Hyundai","SANTA FE"
3400000,"Mazda 2",2010,48,1500,"Hatchback","Gasolina","Manual","Muy Bueno",117000,"Termina en 6","BLANCO","GRIS",5,"SI","SI","NO","San José","29 de Enero del 2021",10,"Mazda","2"
5200000,"Honda CIVIC SI",2007,548,2000,"Sedán","Gasolina","Manual","Excelente",231000,"Termina en 9","NEGRO","NEGRO",3,"SI","SI","NO","San José","11 de Enero del 2021",21,"Honda","CIVIC SI"
4100000,"Toyota YARIS",2009,2867,1500,"Sedán","Gasolina","Manual","Excelente",212214,"Termina en 2","NEGRO","GRIS",4,"SI","SI","NO","Alajuela","08 de Enero del 2021",21,"Toyota","YARIS"
7000000,"Hyundai TUCSON",2014,2165,2000,"Todo Terreno 4x2","Gasolina","Manual","Excelente",184000,"ND","BLANCO","NEGRO",5,"SI","SI","NO","Guanacaste","07 de Enero del 2021",23,"Hyundai","TUCSON"
2100000,"Peugeot 206 BERLINA",2008,367,1400,"Sedán","Gasolina","Manual","Excelente",152450,"Termina en 0","ROJO","NEGRO",4,"SI","NO","NO","Guanacaste","21 de Diciembre del 2020",0,"Peugeot","206 BERLINA"
3300000,"Chevrolet SPARK LS",2012,222,800,"Hatchback","Gasolina","Manual","Excelente",130000,"Termina en 7","NEGRO","NEGRO",4,"SI","SI","NO","San José","05 de Enero del 2021",7,"Chevrolet","SPARK LS"
22100000,"BMW X6",2014,352,3000,"Todo Terreno 4x4","Diesel","Automática/Dual","Excelente",140000,"Termina en 6","GRIS","BEIGE",4,"SI","SI","NO","San José","21 de Enero del 2021",36,"BMW","X6"
6000000,"Hyundai ELANTRA LIMITED",2012,260,1800,"Sedán","Gasolina","Automática/Dual","Excelente",119000,"Termina en 0","GRIS PLATA","GRIS OSCURO",4,"SI","SI","NO","San José","08 de Enero del 2021",19,"Hyundai","ELANTRA LIMITED"
17500000,"Chevrolet COLORADO LT",2017,4168,2800,"Pickup 4x4","Diesel","Automática/Dual","Excelente",41000,"Termina en 0","GRIS PLATA","GRIS",4,"SI","NO","NO","San José","16 de Noviembre del 2020",17,"Chevrolet","COLORADO LT"
5250000,"Hyundai ACCENT",2012,2704,1600,"Hatchback","Gasolina","Automática/Dual","Excelente",120000,"ND","BLACO","GRIS",4,"SI","SI","NO","Heredia","14 de Junio del 2020",16,"Hyundai","ACCENT"
3450000,"Chevrolet TRACKER ",2000,110,2000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",194,"ND","AZUL","GRIS",5,"SI","SI","NO","Alajuela","01 de Febrero del 2021",7,"Chevrolet","TRACKER"
15000000,"Honda ODYSSEY",2016,748,3500,"Microbús/Minivan","Gasolina","Automática/Dual","Excelente",62000,"Termina en 6","BLANCO","GRIS",5,"SI","NO","NO","Guanacaste","17 de Diciembre del 2020",30,"Honda","ODYSSEY"
2100000,"Honda CIVIC ",1996,482,1600,"Sedán","Gasolina","Manual","Bueno",135233,"Termina en 8","NEGRO","NEGRO",2,"SI","SI","NO","Alajuela","04 de Enero del 2021",13,"Honda","CIVIC"
4800000,"Nissan TIIDA",2015,369,1600,"Sedán","Gasolina","Manual","Excelente",110000,"Termina en 6","NEGRO","BEIGE/NEGRO",4,"SI","SI","NO","Alajuela","31 de Enero del 2021",17,"Nissan","TIIDA"
